Price,Close,High,Low,Open,Volume
Ticker,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD
Date,,,,,
2024-11-29,97185.4453125,98136.96875,95326.4765625,95473.5,282555149
2024-11-30,96346.109375,97199.03125,96111.09375,97186.5625,315887914
2024-12-01,97156.3984375,97466.21875,95737.0625,96345.890625,243939521
2024-12-02,95587.5234375,97639.4453125,94755.8671875,97155.6171875,393568614
2024-12-03,95722.46875,95946.9921875,93678.359375,95588.53125,400038156
2024-12-04,98453.921875,98528.4609375,94683.875,95723.2890625,507371938
2024-12-05,96260.2109375,102888.453125,94306.9453125,98450.84375,755081142
2024-12-06,99627.9140625,101433.796875,96390.1328125,96684.75,638632077
2024-12-07,99672.140625,100048.9609375,99082.828125,99627.1484375,201578889
2024-12-08,100630.28125,100642.2734375,98775.2578125,99677.421875,191512280
2024-12-09,97069.0078125,100662.1484375,95372.5859375,100630.0859375,597863003
2024-12-10,96464.109375,97663.84375,94388.5,97067.484375,700777120
2024-12-11,100947.1328125,101178.5,95785.6015625,96469.671875,606749478
2024-12-12,99798.390625,101770.1484375,99342.59375,100942.6796875,446577454
2024-12-13,100994.90625,101314.3046875,99215.421875,99807.0234375,345337348
2024-12-14,100871.171875,101772.6484375,100439.9453125,100996.0078125,305524055
2024-12-15,103996.53125,104170.6875,100858.9140625,100871.46875,291947390
2024-12-16,105594.265625,107076.4140625,103182.7734375,103975.734375,576938288
2024-12-17,105648.9375,107463.9921875,105316.7734375,105595.5234375,424088924
2024-12-18,100110.4609375,105889.3515625,100110.4609375,105650.09375,541095604
2024-12-19,97529.6953125,102131.4921875,96025.8125,100102.3828125,611616275
2024-12-20,97310.6875,97521.96875,92173.546875,97521.96875,630042765
2024-12-21,96891.5234375,98957.546875,96451.03125,97312.9296875,257720099
2024-12-22,94882.640625,97013.6953125,94285.734375,96894.5390625,208256523
2024-12-23,94612.7421875,95846.6953125,92428.1484375,94885.3671875,307620726
2024-12-24,98346.1953125,98656.890625,93567.0078125,94612.5078125,356776454
2024-12-25,98848.46875,98848.46875,97680.2265625,98340.828125,229481372
2024-12-26,95461.3046875,99108.4609375,95174.328125,98842.5546875,286821711
2024-12-27,94158.5625,96827.296875,93517.875,95461.0546875,293284489
2024-12-28,95001.3828125,95001.5703125,94069.0234375,94158.375,165842426
2024-12-29,93448.6015625,95005.90625,93058.2109375,95001.2421875,188435961
2024-12-30,92495.4140625,94436.9375,91431.6328125,93448.578125,288520688
2024-12-31,93309.375,95426.6796875,92066.046875,92496.7109375,259054320
2025-01-01,94277.4609375,94431.6171875,92953.5859375,93309.5546875,116370212
2025-01-02,96619.8515625,97241.03125,94169.03125,94277.2265625,210408784
2025-01-03,97984.4296875,98407.1640625,96079.109375,96626.203125,248170295
2025-01-04,98133.6015625,98291.171875,97472.921875,97984.390625,210212180
2025-01-05,98197.09375,98312.640625,97357.046875,98129.0703125,116367893
2025-01-06,101760.90625,101976.3984375,97909.6796875,98193.609375,295168324
2025-01-07,96714.6875,101971.1484375,96178.6328125,101761.9453125,461901937
2025-01-08,94918.484375,96940.5078125,93259.4140625,96714.484375,359563276
2025-01-09,92335.4765625,95060.265625,91366.2109375,94918.484375,482108809
2025-01-10,94569.84375,95259.4453125,92335.6875,92335.6875,298340385
2025-01-11,94400.875,94690.515625,93898.0703125,94569.609375,147157355
2025-01-12,94225.8671875,94968.578125,93718.4453125,94401.4140625,115323298
2025-01-13,94216.96875,95426.40625,90044.0078125,94219.1953125,451787234
2025-01-14,96336.125,96782.4140625,94170.4921875,94218.9140625,289295360
2025-01-15,99887.40625,100029.71875,96327.2421875,96336.1484375,425370943
2025-01-16,99678.96875,100126.6796875,97678.765625,99896.2421875,308190279
2025-01-17,104036.0859375,105236.0625,99626.984375,99678.6171875,544352521
2025-01-18,104108.28125,104371.4609375,102199.15625,104036.6328125,415204247
2025-01-19,101145.4375,105737.0390625,100306.6484375,104110.6796875,898037509
2025-01-20,102175.125,108307.4609375,99742.21875,101144.140625,1211995185
2025-01-21,105859.0546875,106678.4296875,100465.59375,102177.6875,691763597
2025-01-22,103704.6015625,105908.1015625,103562.265625,105859.75,445738122
2025-01-23,104070.5625,105912.7109375,101472.6171875,103703.1796875,762481097
2025-01-24,104610.890625,106607.5703125,103037.3671875,104067.0078125,406954420
2025-01-25,104627.3984375,104910.609375,104094.9921875,104610.3671875,221075713
2025-01-26,102623.28125,104971.15625,102617.1953125,104629.7109375,182663693
2025-01-27,101765.375,102928.953125,98138.9921875,102621.2109375,525613834
2025-01-28,100917.2578125,102983.4609375,100208.953125,101764.3359375,337190177
2025-01-29,103518.1640625,103957.3984375,100929.7109375,100932.796875,257875476
2025-01-30,104760.4375,105819.1484375,103243.25,103519.59375,429594110
2025-01-31,102263.8359375,105407.828125,101654.671875,104755.96875,636822288
2025-02-01,100628.40625,102632.4453125,100371.0,102265.5625,445718791
2025-02-02,97513.8671875,101325.921875,96709.5078125,100628.953125,800939698
2025-02-03,101515.59375,102245.15625,92761.7421875,97519.640625,1124744198
2025-02-04,97842.828125,101677.09375,96402.6953125,101515.6328125,609503403
2025-02-05,96590.296875,98765.8515625,96420.2265625,97842.140625,432532702
